Description,Category
TXTAG 888 468 9824,Travel
DD DOORDASH SUBWAY,Food/Drinks
VETSOURCE,Pets
RAISING CANES 0115,Food/Drinks
DD DOORDASH CVS,Food/Drinks
AMZN Mktp US*HV6D00EF1,Shopping
RMA TOLL,Travel
AMZN Mktp US*HV41Y6TG1,Shopping
NESPRESSO USA  INC.,Groceries
Payment Thank You-Mobile,Payments
DAIRY QUEEN 14158,Food/Drinks
TWO STEP INNCASHLESS,Food/Drinks
TWO STEP INNCASHLESS,Food/Drinks
TWO STEP INNCASHLESS,Food/Drinks
WAL-MART #1303,Shopping
GRABOOST,Miscellaneous
KRISPY KREME #130,Food/Drinks
KWIK CHEK#65,Gas/Snacks
TWO STEP INNCASHLESS,Food/Drinks
DD DOORDASH 7-ELEVEN,Food/Drinks
TWO STEP INNCASHLESS,Food/Drinks
TWO STEP INNCASHLESS,Food/Drinks
7-ELEVEN 36563,Gas/Snacks
SHELL OIL 57543321004,Gas/Snacks
NI CAFE,Food/Drinks
AMZN Mktp US*HJ04490Y1,Shopping
DD DOORDASH POTBELLYS,Food/Drinks
TRADER JOE'S #453 QPS,Groceries
Payment Thank You-Mobile,Payments
DD DOORDASH FIREHOUSE,Food/Drinks
SHELL OIL 12609115006,Gas/Snacks
SHELL OIL 12609115006,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
P. TERRYS STAND #6,Food/Drinks
TXTAG 888 468 9824,Travel
AMZN Mktp US*HS1BZ8PF1,Shopping
AMZN Mktp US*HS9VW6DQ0,Shopping
GLF*GolfNowReservation,Entertainment
RAISING CANES 0161,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
TRADER JOE'S #453 QPS,Groceries
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
7-ELEVEN 38104,Gas/Snacks
DD DOORDASH FIREHOUSE,Food/Drinks
Payment Thank You-Mobile,Payments
TXTAG 888 468 9824,Travel
COA PARKS &amp; REC,Travel
Payment Thank You-Mobile,Payments
7-ELEVEN 36609,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
TRADER JOE'S #454 QPS,Groceries
DD DOORDASH SUBWAY,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
INTUIT *TURBOTAX,Services
Payment Thank You-Mobile,Payments
SHELL OIL 57543321004,Gas/Snacks
SQ *PROOF OF THE PUDDING,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
SQ *PROOF OF THE PUDDING,Food/Drinks
TST* MEAN EYED CAT,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
SQ *PROOF OF THE PUDDING,Food/Drinks
SQ *PROOF OF THE PUDDING,Food/Drinks
SQ *PROOF OF THE PUDDING,Food/Drinks
CHEWY.COM,Pets
NI CAFE,Food/Drinks
VETSOURCE,Pets
SHELL OIL 57543321004,Gas/Snacks
SHELL OIL 57543321004,Gas/Snacks
CSC SERVICEWORK,Food/Drinks
H-E-B #029,Groceries
TXTAG 888 468 9824,Travel
DD DOORDASH SUBWAY,Food/Drinks
DD DOORDASH SONICDRIV,Food/Drinks
DD DOORDASH TORCHYSTA,Food/Drinks
FIREHOUSE SUBS 0431 QSR,Food/Drinks
WONDER BAR - AUSTIN,Food/Drinks
Payment Thank You-Mobile,Payments
BAR PARTNERS GAMES,Entertainment
Payment Thank You-Mobile,Payments
SHELL OIL 57543321004,Gas/Snacks
NESPRESSO USA INC,Groceries
SEATGEEK EVENT TICKETS,Entertainment
SHELL OIL 57543321004,Gas/Snacks
H-E-B #029,Groceries
DD DOORDASH LAMADELEI,Food/Drinks
Payment Thank You-Mobile,Payments
JIMMY JOHNS - 416,Food/Drinks
CIRCLE K #2741550,Gas/Snacks
CHUY'S 001,Food/Drinks
FIREHOUSE SUBS 0466 QSR,Food/Drinks
TST* Revelry Kitchen and,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
TST* Revelry Kitchen and,Food/Drinks
FIREHOUSE SUBS 0465 QSR,Food/Drinks
DD DOORDASH PLUCKERSW,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
USPS PO 4804040128,Shopping
SHELL OIL 57543321004,Gas/Snacks
Payment Thank You-Mobile,Payments
H-E-B #029,Groceries
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
P. TERRYS STAND #6,Food/Drinks
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
CHEVRON 0208362,Gas/Snacks
NI CAFE,Food/Drinks
487PEPSIVEN9147678600,Food/Drinks
DD DOORDASH LAMADELEI,Food/Drinks
Payment Thank You-Mobile,Payments
P. TERRYS STAND #8,Food/Drinks
JIMMY JOHNS - 2604,Food/Drinks
TST* CLIVE BAR,Food/Drinks
7-ELEVEN 38613,Gas/Snacks
GLF*AVERYRANCHGOLFCLUB,Entertainment
GLF*AVERYRANCHGOLFCLUB,Entertainment
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
VETSOURCE,Pets
H-E-B #029,Groceries
SHELL OIL 57543321004,Gas/Snacks
Payment Thank You-Mobile,Payments
DD DOORDASH FIREHOUSE,Food/Drinks
H-E-B #029,Groceries
TGI FRIDAYS 1935,Food/Drinks
GOOD PEOPLE LLC,Food/Drinks
TST* Post Office Pies,Food/Drinks
SQ *BACK FORTY BEER CO. B,Food/Drinks
SQ *O.HENRY'S-HOMEWOOD,Food/Drinks
SQ *BACK FORTY BEER CO. B,Food/Drinks
SQ *BUCKHEAD BOOKS,Shopping
AUSTIN AIRPORT-F&amp;B,Food/Drinks
Payment Thank You-Mobile,Payments
P. TERRYS STAND #6,Food/Drinks
CHEWY.COM,Pets
DD DOORDASH EINSTEINB,Food/Drinks
Payment Thank You-Mobile,Payments
SHELL OIL 57542085402,Gas/Snacks
7-ELEVEN 36265,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
DOORDASH*TOTAL WINE &amp;,Food/Drinks
H-E-B #029,Groceries
DD DOORDASH VIA313PIZ,Food/Drinks
FACEBK ZQ4K6M7KD2,Services
POTBELLY #458,Food/Drinks
Payment Thank You-Mobile,Payments
FWB CEDAR PARK,Food/Drinks
TEXACO 0355588,Gas/Snacks
TEXACO 0355588,Gas/Snacks
TEXACO 0305406,Gas/Snacks
TST* Mighty Fine Burgers,Food/Drinks
RIVERSIDE GOLF COURSE,Entertainment
7-ELEVEN 38613,Gas/Snacks
DECKERS*HOKA ONE ONE,Shopping
UPSTAIRS CIRCUS ATX LLC,Shopping
Payment Thank You-Mobile,Payments
H-E-B #029,Groceries
MANSCAPED,Shopping
NI CAFE,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
GWCTX 1212,Miscellaneous
H-E-B #029,Groceries
SP TIPSYELVES.COM,Shopping
MOD PIZZA W LAKE HILLS,Food/Drinks
Payment Thank You-Mobile,Payments
DD DOORDASH TORCHYSTA,Food/Drinks
TRADER JOE'S #453 QPS,Groceries
SHELL OIL 10003538005,Gas/Snacks
JIMMY JOHNS - 984,Food/Drinks
TST* LATCHKEY,Food/Drinks
EINSTEIN BROS BAGELS1908,Food/Drinks
7-ELEVEN 12705,Gas/Snacks
NI CAFE,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
CL *Chase Travel,Travel
Payment Thank You-Mobile,Payments
DD DOORDASH WALGREENS,Food/Drinks
DD DOORDASH WALGREENS,Food/Drinks
DD DOORDASH FIREHOUSE,Food/Drinks
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
P. TERRYS STAND #6,Food/Drinks
CHEWY.COM,Pets
H-E-B #029,Groceries
TEXACO 0304918,Gas/Snacks
GLF*FALCONHEADGOLFCLUB,Entertainment
P. TERRYS STAND #6,Food/Drinks
Payment Thank You-Mobile,Payments
TEXACO 0304918,Gas/Snacks
GLF*GolfNowReservation,Entertainment
H-E-B #029,Groceries
TST* Easy Tiger - Eastsid,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
VCA ANIMAL HOSP #679,Pets
Payment Thank You-Mobile,Payments
VETSOURCE,Pets
Payment Thank You-Mobile,Payments
P. TERRYS STAND #6,Food/Drinks
GRABOOST,Miscellaneous
Payment Thank You-Mobile,Payments
H-E-B #029,Groceries
TST* MEAN EYED CAT,Food/Drinks
H-E-B #029,Groceries
CIRCLE K #2741550,Gas/Snacks
TST* WHITE HORSE - NEW,Food/Drinks
NI CAFE,Food/Drinks
REDEMPTION CREDIT,Credits
REDEMPTION CREDIT,Credits
REDEMPTION CREDIT,Credits
REDEMPTION CREDIT,Credits
H-E-B #029,Groceries
7-ELEVEN 38613,Gas/Snacks
PARLOR &amp; YARD,Food/Drinks
PARLOR &amp; YARD,Food/Drinks
TST* BEEZ KNEEZ,Food/Drinks
WENDY'S 101,Food/Drinks
SQ *TACOWEY,Food/Drinks
Payment Thank You-Mobile,Payments
FINISH LINE CAR WASH,Automotive
CHEWY.COM,Pets
Payment Thank You-Mobile,Payments
FIRESTONE679585,Automotive
H-E-B #029,Groceries
DD DOORDASH SUBWAY,Food/Drinks
P. TERRYS STAND #6,Food/Drinks
7-ELEVEN 36565,Gas/Snacks
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
DD DOORDASH TACOBELL,Food/Drinks
SHELL OIL 57543321004,Gas/Snacks
H-E-B #029,Groceries
Payment Thank You-Mobile,Payments
Payment Thank You-Mobile,Payments
TOPGOLF AUSTIN 009-2,Food/Drinks
TOP GOLF BAY RESERVATION,Entertainment
WENDY'S 105,Food/Drinks
SHELL OIL 57542085402,Gas/Snacks
H-E-B #029,Groceries
DD DOORDASH SUBWAY,Food/Drinks
BLACKHAWK GOLF CLUB,Entertainment
DOORDASH*MADAM MAMS,Food/Drinks
Payment Thank You-Mobile,Payments
BUFORDS,Food/Drinks
7-ELEVEN 36604,Gas/Snacks
DD DOORDASH TORCHYSTA,Food/Drinks
7-ELEVEN 38613,Gas/Snacks
7-ELEVEN 38613,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
SQ *STONY'S PIZZA CART,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
